Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-502116 1 2020-07-07 11:53:30 4.82750 3.95400 -0.87350
14kL-502116 2 2020-07-07 11:53:55 3.30580 5.78340 2.47760
14kL-502116 3 2020-07-07 11:54:23 3.27980 3.80290 0.52310
14kL-502116 4 2020-07-07 11:54:52 5.68770 1.68780 -3.99990
14kL-502116 5 2020-07-07 11:55:32 2.28880 4.20030 1.91150
14kL-502116 6 2020-07-07 11:56:00 1.36650 0.21430 -1.15220
14kL-502116 7 2020-07-07 11:56:28 3.89720 3.23300 -0.66420
14kR-502116 1 2020-07-07 12:02:58 2.40980 2.55750 0.14770
14kR-502116 2 2020-07-07 12:03:23 2.13310 0.35720 -1.77590
14kR-502116 3 2020-07-07 12:03:51 2.25200 3.30080 1.04880
14kR-502116 4 2020-07-07 12:04:21 5.57270 3.12320 -2.44950
14kR-502116 5 2020-07-07 12:05:00 5.46150 6.16380 0.70230
14kR-502116 6 2020-07-07 12:05:27 4.13260 6.19520 2.06260
14kR-502116 7 2020-07-07 12:05:54 1.22030 1.60780 0.38750
14kL-502116 1 2022-05-09 17:48:16 3.95400 3.95820 0.00420
14kL-502116 2 2022-05-09 17:49:06 5.78340 5.83930 0.05590
14kL-502116 3 2022-05-09 17:49:36 3.80290 3.76310 -0.03980
14kL-502116 4 2022-05-09 17:50:04 1.68780 1.71250 0.02470
14kL-502116 5 2022-05-09 17:52:04 4.20030 4.19890 -0.00140
14kL-502116 6 2022-05-09 17:52:35 0.21430 0.16660 -0.04770
14kL-502116 7 2022-05-09 17:53:02 3.23300 3.27160 0.03860
14kR-502116 1 2022-05-09 17:56:14 2.55750 2.52360 -0.03390
14kR-502116 2 2022-05-09 17:56:39 0.35720 0.33990 -0.01730
14kR-502116 3 2022-05-09 17:57:18 3.30080 3.29940 -0.00140
14kR-502116 4 2022-05-09 18:00:47 3.12320 3.12860 0.00540
14kR-502116 5 2022-05-09 18:01:26 6.16380 6.14570 -0.01810
14kR-502116 6 2022-05-09 18:05:55 6.19520 6.18240 -0.01280
14kR-502116 7 2022-05-09 18:06:22 1.60780 1.56240 -0.04540
14kR-502116 1 2023-02-17 14:28:46 2.52360 2.52460 0.00100
14kR-502116 2 2023-02-17 14:29:11 0.33990 0.33150 -0.00840
14kR-502116 3 2023-02-17 14:29:39 3.29940 3.27900 -0.02040
14kR-502116 4 2023-02-17 14:30:08 3.12860 3.12070 -0.00790
14kR-502116 5 2023-02-17 14:30:47 6.14570 6.11330 -0.03240
14kR-502116 6 2023-02-17 14:31:14 6.18240 6.14290 -0.03950
14kR-502116 7 2023-02-17 14:31:42 1.56240 1.59390 0.03150
14kL-502116 1 2023-02-17 14:32:39 3.95820 3.96460 0.00640
14kL-502116 2 2023-02-17 14:33:04 5.83930 5.77570 -0.06360
14kL-502116 3 2023-02-17 14:33:32 3.76310 3.78810 0.02500
14kL-502116 4 2023-02-17 14:34:00 1.71250 1.68860 -0.02390
14kL-502116 5 2023-02-17 14:34:41 4.19890 4.17720 -0.02170
14kL-502116 6 2023-02-17 14:35:09 0.16660 0.15800 -0.00860
14kL-502116 7 2023-02-17 14:35:37 3.27160 3.22600 -0.04560
